name,dataset,model,fitness,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),preprocess,inference,loss,postprocess,speed
202412161028_train_yolo11n-FDPN-DASI_sample_epochs500,sample,val_last,0.6949307683210457,0.9790778851657459,0.6633588664494124,0.9698046503085798,0.9488933495421777,0.06830271552590764,4.141750055200914,0.0007208655862247243,0.4883191164802102,4.6990927527932564
202412130020_train_yolo11l-C3k2-IDWB_sample_epochs500,sample,val_best,0.6992563755068232,0.9804499393939392,0.6680126461860325,0.9522999478914256,0.9579316198203425,0.292211420395795,4.9751464058371155,0.0009522718541762408,2.0730860093060666,7.3413961073931535
202412130020_train_yolo11l-C3k2-IDWB_sample_epochs500,sample,val_last,0.711716082234042,0.9890831372549016,0.6808975205650576,0.9794753845964974,0.9654291918615155,0.20156607908361096,5.187369795406566,0.0007503172930549173,2.0960401086246265,7.485726300407858
202412201642_train_yolo11n-slimneck_sample_epochs500,sample,val_best,0.6988224956085604,0.9789569858069777,0.6676964411420695,0.9652128680134319,0.9572285115233914,0.10892924140481387,1.5912743175730986,0.000740500057444853,0.5408413269940545,2.2417853860294117
202412201642_train_yolo11n-slimneck_sample_epochs500,sample,val_last,0.6839771727831676,0.9808943115707819,0.6509863795845438,0.9715580406774944,0.9382336156795341,0.07689279668471392,1.567999054403866,0.0007306828218347887,0.9268578361062443,2.5724803700166587
202412160234_train_yolo11m-FDPN-DASI_sample_epochs500,sample,val_best,0.7249143687018462,0.985009272030651,0.6960149349986456,0.9794042759599472,0.9695956524750675,0.17111862407011144,8.746950766619515,0.0006914138793945312,3.0720430261948533,11.990803830763873
202412160234_train_yolo11m-FDPN-DASI_sample_epochs500,sample,val_last,0.7251127385001915,0.9858769396886636,0.6961389383681391,0.9841178102444353,0.9618807861723645,0.2772471484015969,8.889525076922249,0.0007208655862247243,2.7719764148487767,11.939469505758847
202412131807_train_yolo11l-inceptionnext_sample_epochs500,sample,val_best,0.7091349611544726,0.9845025718725717,0.6785385599635727,0.9735788280894931,0.952538940166404,0.5223077886244829,7.707912781659295,0.0007797689998851103,5.57857401230756,13.809574351591223
202412131807_train_yolo11l-inceptionnext_sample_epochs500,sample,val_last,0.7073320828002335,0.9834935187035185,0.6766474788109796,0.9734264364587335,0.9555370994647338,0.3098207361557904,7.800600107978372,0.006779502419864429,6.647672372705796,14.764872719259824
202412110333_train_yolo11n-GlobalEdgeInformationTransfer2_sample_epochs500,sample,val_best,0.7143046930617805,0.981810195024246,0.6845818595103953,0.9670868546326452,0.9664836882941061,0.3486479029935949,1.3497296501608456,0.0007937936221852022,0.8832510779885685,2.582422424765194
202412110333_train_yolo11n-GlobalEdgeInformationTransfer2_sample_epochs500,sample,val_last,0.7053211193823314,0.9874018181818179,0.6739788195157218,0.9717547462635239,0.9674008253666352,0.3683020086849437,1.7861296148861157,0.0006914138793945312,0.5903566584867589,2.7454796959372127
202412210347_train_yolo11l_sample_epochs500,sample,val_best,0.7113570885384652,0.9864255374067349,0.6807939275531019,0.968590961067118,0.9730387211859756,0.06911053377039292,3.020189790164723,0.0007461099063648897,0.7761843064252067,3.866230740266688
202412210347_train_yolo11l_sample_epochs500,sample,val_last,0.7030332062713661,0.9798346365680445,0.6722774917939573,0.9842130037655022,0.9548501429154334,0.06759447209975299,2.9588250552906707,0.000726475435144761,0.45994309818043433,3.487089101006003
202412150536_train_yolo11s-FDPN_sample_epochs500,sample,val_best,0.7160257829968958,0.9803558686348436,0.6866557734815683,0.9635057339408388,0.9513662727949233,0.40703661301556754,3.0070290845983165,0.00081483055563534,4.098694464739631,7.513574992909151
202412150536_train_yolo11s-FDPN_sample_epochs500,sample,val_last,0.7129059074660431,0.9819035719119589,0.6830172780831636,0.9637885352021426,0.9349610039473819,0.4122215158799115,2.6133944006527168,0.0007643419153550092,3.1717735178330364,6.1981537762810195
202412161652_train_yolo11l-EIEStem_sample_epochs500,sample,val_best,0.7093068407659249,0.9843059226890755,0.6787513872189082,0.9783767193388415,0.9632782008414869,0.14408055473776427,6.290717685923857,0.010240779203527114,1.3539524639354032,7.798991483800552
