Uuid,Aid,Devid,Roomid,Date,Roomtype,Devtype,Initpower,Initusually,Initpeak,Initvalley,Inittip,Lastpower,Lastusually,Lastpeak,Lastvalley,Lasttip,Apportion,Price,Pricepeak,Pricevalley,Pricetip,Watermoney,Waterpower,Usually,Tip,Peak,Valley,Allpower,ApportionMoney,Allmoney,Status,Mark,Apportions,Ltime,Expand,Adduid,Lastuid,Addtime,Lasttime
66d9dce123ca974f81144b33,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-06,1,64,3531.16,0,0,0,0,3543.94,0,0,0,0,0,1.3,0,0,0,4.5,3.4615,0,0,0,0,16.2415,0,25.614,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.09, 'Money': 4.5, 'Power': 0}]",2024-09-06T23:44:41.596+08:00,,000000000000000000000000,000000000000000000000000,2024-09-06T00:31:29.876+08:00,2024-09-06T00:31:29.876+08:00
66d88f5d23ca974f81089f9b,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-05,1,64,3521.95,0,0,0,0,3531.16,0,0,0,0,0,1.3,0,0,0,3.5,2.6923,0,0,0,0,11.9023,0,18.973,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.07, 'Money': 3.5, 'Power': 0}]",2024-09-05T23:31:12.548+08:00,,000000000000000000000000,000000000000000000000000,2024-09-05T00:48:29.475+08:00,2024-09-05T00:48:29.475+08:00
66d73dc123ca974f81fa2dfb,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-04,1,64,3510.08,0,0,0,0,3521.95,0,0,0,0,0,1.3,0,0,0,3.0,2.3077,0,0,0,0,14.1777,0,21.431,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.06, 'Money': 3, 'Power': 0}]",2024-09-04T23:48:11.623+08:00,,000000000000000000000000,000000000000000000000000,2024-09-04T00:48:01.893+08:00,2024-09-04T00:48:01.893+08:00
66d5ec5f23ca974f81ebd33e,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-03,1,64,3499.44,0,0,0,0,3510.08,0,0,0,0,0,1.3,0,0,0,3.5,2.6923,0,0,0,0,13.3323,0,20.832,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.07, 'Money': 3.5, 'Power': 0}]",2024-09-03T23:47:44.304+08:00,,000000000000000000000000,000000000000000000000000,2024-09-03T00:48:31.798+08:00,2024-09-03T00:48:31.798+08:00
66d4963923ca974f81d9a0a1,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-02,1,64,3484.17,0,0,0,0,3499.44,0,0,0,0,0,1.3,0,0,0,5.0,3.8462,0,0,0,0,19.1162,0,29.8511,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.1, 'Money': 5, 'Power': 0}]",2024-09-02T23:48:14.822+08:00,,000000000000000000000000,000000000000000000000000,2024-09-02T00:28:41.584+08:00,2024-09-02T00:28:41.584+08:00
66d348b223ca974f81ce6f5d,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-09-01,1,64,3472.74,0,0,0,0,3484.17,0,0,0,0,0,1.3,0,0,0,5.5,4.2308,0,0,0,0,15.6608,0,25.859,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.11, 'Money': 5.5, 'Power': 0}]",2024-09-01T23:28:24.143+08:00,,000000000000000000000000,000000000000000000000000,2024-09-01T00:45:38.252+08:00,2024-09-01T00:45:38.252+08:00
66d1f80c23ca974f81c0dc7c,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-08-31,1,64,3461.4,0,0,0,0,3472.74,0,0,0,0,0,1.3,0,0,0,4.0,3.0769,0,0,0,0,14.4169,0,22.742,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.08, 'Money': 4, 'Power': 0}]",2024-08-31T23:45:20.514+08:00,,000000000000000000000000,000000000000000000000000,2024-08-31T00:49:16.574+08:00,2024-08-31T00:49:16.574+08:00
66d0a5d523ca974f81b238bb,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-08-30,1,64,3450.63,0,0,0,0,3461.4,0,0,0,0,0,1.3,0,0,0,4.0,3.0769,0,0,0,0,13.8469,0,22.001,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.08, 'Money': 4, 'Power': 0}]",2024-08-30T23:48:59.066+08:00,,000000000000000000000000,000000000000000000000000,2024-08-30T00:46:13.7+08:00,2024-08-30T00:46:13.7+08:00
66cf513523ca974f81a0fbdc,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-08-29,1,64,3439.6,0,0,0,0,3450.63,0,0,0,0,0,1.3,0,0,0,6.0,4.6154,0,0,0,0,15.6454,0,26.339,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.12, 'Money': 6, 'Power': 0}]",2024-08-29T23:45:55.987+08:00,,000000000000000000000000,000000000000000000000000,2024-08-29T00:32:53.987+08:00,2024-08-29T00:32:53.987+08:00
66ce041d23ca974f81964f8e,000000000000000000000000,60eebd0c0ae10f6077b53548,6607eef30ae10f73dc7ecf1c,2024-08-28,1,64,3431.72,0,0,0,0,3439.6,0,0,0,0,0,1.3,0,0,0,4.0,3.0769,0,0,0,0,10.9569,0,18.244,0,,"[{'Devid': '6257ecfc0ae10f54b9067940', 'Roomid': '6259035f0ae10f54b9094adb', 'Type': 2, 'Sumpercent': 1, 'Percent': 1, 'Value': 0.08, 'Money': 4, 'Power': 0}]",2024-08-28T23:32:36.651+08:00,,000000000000000000000000,000000000000000000000000,2024-08-28T00:51:41.48+08:00,2024-08-28T00:51:41.48+08:00
